#Sno.,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1
141,5.24,935.5983333,0.033470005,1.180974153,36,518.55,0.540064378,6.16209047,3.278972015,0.384496885,2.234378331,0.60409277,0.118,1.1173
142,5.23,1284.844667,0.033470005,0.254698573,78,529.55,0.410543351,6.112665885,3.258291362,0.232929464,2.152178212,0.58858228,0.102945714,1.1393
143,5.22,1451.788667,0.033470005,0.083266841,74,445.56,0.457431834,6.432611375,3.58455588,0.216058405,2.661985318,0.69008075,0.002773085,1.6446
144,5.21,710.8843333,0.033470005,0.473206003,42,529.45,0.459096355,6.317607895,3.398157886,0.341230781,2.212369127,0.385857454,0,1.0963
145,5.21,1858.300333,0.033470005,0.07047749,90,552.67,0.481194721,6.035571675,3.218018511,0.301230043,1.985178091,0.451981122,0.0053,1.112
146,5.19,1065.813,0.033470005,0.099049445,64,475.07,0.402689056,6.18118225,3.295026733,0.422320711,2.106981649,0.69361823,2.312175065,1.894
148,5.11,982.2456667,0.033470005,0.115376277,56,454.75,0.473107769,6.569368726,3.683877439,0.516744221,2.154913389,0.496335681,0.99130001,1.8579
149,5.1,732.9636667,0.033470005,0.145308801,44,467.91,0.44259918,6.457525304,3.537480183,0.44055234,2.349429304,0.648991557,0.730117593,1.8163
150,5.09,1475.030333,0.033470005,0.026122931,62,465.49,0.356130375,6.271668544,3.471356515,0.442185023,1.884331595,0.49769625,1.328557823,1.875
151,5.09,1476.572,0.033470005,0.727360348,70,476.07,0.416825643,6.226854385,3.403055936,0.124900262,1.997411228,0.612800413,1.460143154,1.9008
152,5.07,1354.158,0.077824564,0.207894989,62,445.36,0.413145576,6.39972832,3.506731316,0.411436157,2.131179454,0.806273368,0.377220188,1.9911
153,5.07,1481.137,0.077824564,0.389939162,82,528.26,0.310329531,6.260995423,3.370674386,0.111294569,2.06713226,0.414701523,0.040105486,1.1118
154,5.05,1059.183,0.033470005,0.048436267,57,451.95,0.491130687,6.520916133,3.654217029,0.446538845,2.05556806,0.460144538,2.759090374,1.9009
155,5.05,1126.351333,0.033470005,0.153200103,58,474.71,0.363153906,6.448565955,3.609318242,0.490349176,2.087155197,0.449804211,0.131288728,1.7752
156,5.05,449.7743333,0.033470005,2.006023377,26,430.36,0.220925433,7.238687732,4.24007817,0.219051658,2.510813275,0.12054644,13.17775152,1.5154
157,5.04,1203.164333,0.033470005,0.073198628,57,473.69,0.483941983,6.484567979,3.634352717,0.313747281,2.152404939,0.500961617,0.801819649,1.8316
159,5.03,1441.507667,0.033470005,0.159730836,82,539.54,0.393961276,6.175362007,3.341830317,0.156193356,2.07347297,0.424769736,0,1.1163
160,5.03,1229.689333,0.077824564,0.042449762,64,497.31,0.422495952,6.403295189,3.499112128,0.440824454,1.965664919,0.30667232,1.507121196,1.7991
161,4.99,1280.443,0.033470005,0.021496995,64,451.96,0.505983205,6.361858506,3.502377495,0.309937687,1.988727916,0.587493824,0.0001,1.919
163,4.97,1084.119667,0.033470005,0.177418237,55,538.66,0.34286047,5.787052264,2.941550829,0.737700675,2.023089932,0.720285388,1.476451168,1.6393
164,4.96,514.9173333,0.033470005,1.449550533,38,488.86,0.517222052,6.125488435,3.159241917,1.108591867,2.501943763,0.976072417,0,1.1622
165,4.93,1043.298667,0.077824564,0.062586188,59,466.75,0.57634668,6.347988047,3.41394049,0.502866414,2.078496402,0.641100255,2.742965301,1.8755
166,4.92,1044.918667,0.077824564,0.197282549,64,503.78,0.350575443,6.298797752,3.363327312,0.205718078,2.179720248,0.582051547,0.024209502,1.1635
167,4.91,977.3456667,0.033470005,0.20299694,54,424.62,0.456743658,6.685989108,3.785648023,0.381231518,2.951238382,0.664229933,1.997527637,1.6432
169,4.86,1353.801333,0.077824564,0.738244903,61,493.08,0.461090677,6.321513001,3.412035693,0.240548652,2.228011919,0.596201468,2.545850907,1.6823
170,4.84,1110.934,0.077824564,0.610623502,51,452.58,0.410034498,6.420431287,3.511629366,0.14449246,2.27018528,0.776340843,0.770200299,1.8856
171,4.83,2206.953,0.033470005,0.017143173,110,536.47,0.492741057,6.072784062,3.25883559,0.17905092,1.960635893,0.494430884,0.087606849,1.12
172,4.8,357.462,0.033470005,1.91595369,26,389.92,0.230374587,7.51408002,4.342937209,0.080545703,2.854183967,0.257691826,2.668821832,1.5169
173,4.8,1014.520333,0.077824564,0.142315549,62,510.25,0.272369103,6.362915669,3.422920248,0.20653442,2.169178798,0.478920394,0,1.1603
174,4.78,1503.830667,0.077824564,0.474566572,80,619.61,0.171335404,5.93045137,3.075430848,0.424497622,1.907689472,0.290073375,0.000141421,1.1185
175,4.76,1031.730333,0.033470005,0.001088455,22,420,0.198991151,6.716296333,3.904289666,0.69361823,1.909891807,0.330346226,8.262676246,2.0654
176,4.75,1355.186,0.033470005,0.03809594,58,461.41,0.360320112,6.279727196,3.476254564,0.492798201,1.933579741,0.541778696,1.097882885,1.916
177,4.73,1191.704,0.033470005,0.268304266,62,538.32,0.503153766,6.325451849,3.469995945,0.523547067,2.14681877,0.328169315,0.1718,1.1149
178,4.72,816.6253333,0.033470005,0.788585967,40,445.14,0.402621844,6.539614981,3.587549133,0.61606578,1.772267285,0.171703846,31.16195222,2.1156
179,4.7,894.7536667,0.033470005,0.249800524,48,527.16,0.421969684,6.185030213,3.34482357,0.593208215,2.134584342,0.470484864,0.611928967,1.5771
180,4.7,1445.205667,0.077824564,0.075375539,62,454.94,0.421188989,6.447060077,3.560065633,0.393204528,2.072007487,0.636746433,0.022712992,1.9711
182,4.67,544.0436667,0.033470005,1.450911103,28,398.22,0.420065975,6.56762747,3.606052875,0.500145275,2.400968597,0.905867041,4.870111063,2.3354
183,4.66,566.5823333,0.033470005,1.84057815,34,490.11,0.288445045,6.520950147,3.602243281,0.715387339,2.290212801,0.394837211,0.61980292,1.2935
184,4.65,950.4173333,0.033470005,0.237827514,56,541.49,0.334194188,5.974121018,3.111349878,0.580690978,2.023540876,0.518649018,0.006051446,1.2979
185,4.65,534.8286667,0.033470005,1.362201984,32,495.49,0.587542804,5.991788555,3.034069541,1.115394713,2.476525525,1.060427713,0,1.1655
186,4.65,566.7406667,0.033470005,1.830509938,34,489.52,0.275245618,6.510003823,3.59299141,0.720013274,2.299937256,0.420415914,0.493495238,1.312
187,4.64,1210.506333,0.033470005,0.180411489,74,521.77,0.370589689,6.261588086,3.407681871,0.189663361,2.127233498,0.449259983,0,1.1419
188,4.62,950.303,0.077824564,0.308577118,62,435.23,0.343358711,6.499351925,3.57040596,0.554295933,2.215311995,0.812259873,0.0002,2.0476
189,4.61,697.0783333,0.033470005,0.701781646,43,513.89,0.232780618,6.987415617,3.995447809,0.103131153,2.094666631,-0.337693301,4.671306905,1.6524
190,4.6,1082.511,0.033470005,0.251705321,63,545.68,0.398018494,6.276722787,3.408498213,0.234834261,2.156145173,0.34612883,0.0181,1.1012
191,4.6,1014.739,0.033470005,0.647358873,68,501.86,0.482574611,6.32574029,3.440063421,0.262317761,2.289388294,0.585316913,0.131566181,1.1538
192,4.58,1024.085,0.033470005,0.168982707,48,474.26,0.372695578,6.532620294,3.665645811,0.427218761,2.13231213,0.401912172,0.330941279,1.7387
193,4.58,564.9516667,0.033470005,1.249002618,41,478.57,0.498340343,6.588910311,3.59788946,0.522730726,2.534943064,0.57660927,0.541150571,1.17
195,4.56,1026.000667,0.077824564,0.069389034,54,446.63,0.390609106,6.549614349,3.605780762,0.413613068,2.134968902,0.606269681,1.168800073,1.9434
196,4.56,1280.443,0.077824564,0.021496995,64,451.96,0.505983205,6.361858506,3.443056673,0.309937687,1.988727916,0.646814646,0.0001,1.919
197,4.56,1056.332,0.033470005,0.241364994,42,464.52,0.277662262,6.073433325,3.236522253,0.100954242,2.074618744,0.804096457,0.416768077,1.9305
198,4.54,1047.920333,0.077824564,0.223405479,62,505.51,0.360888286,6.375352905,3.436253827,0.183404742,2.178114622,0.500961617,0.048615841,1.1592
199,4.52,969.237,0.033470005,0.054150658,52,456.7,0.564111624,6.483024278,3.592447182,0.466947384,2.116857508,0.52517975,1.887305895,1.9146
201,4.46,895.381,0.077824564,0.076463995,47,449.49,0.595033827,6.555118396,3.603059623,0.537696988,2.15468717,0.581507319,2.01078798,1.9395
202,4.45,855.3663333,0.077824564,0.100410014,50,467.92,0.421426273,6.403498186,3.440335535,0.464226246,2.222885609,0.664774161,0.633405952,1.787
203,4.43,1166.115333,0.077824564,0.058232366,66,451.33,0.469660359,6.353264334,3.453124886,0.510757716,1.978130784,0.615249438,2.052337324,1.927
204,4.4,547.618,0.033470005,1.245193024,38,509.61,0.462005796,6.459820312,3.505914975,0.946139892,2.413904182,0.473206003,0.0011,1.1141
205,4.4,766.418,0.033470005,0.188030677,50,484.47,0.380579261,6.420354551,3.497479445,0.142043435,2.313357854,0.588854394,0.047901879,1.1824
206,4.4,1108.003,0.033470005,1.272132296,74,509.33,0.480604234,6.05529993,3.186997531,0.321094355,2.227060897,0.762463036,0.061130516,1.1485
207,4.4,944.0956667,0.077824564,0.128165628,56,500.58,0.349641276,6.249320105,3.2982921,0.210888242,2.212867135,0.666951071,0.220941553,1.1513
208,4.4,959.8576667,0.033470005,0.117825302,54,497.75,0.403531793,6.320272706,3.44142399,0.396742008,2.196653899,0.518376904,2.385696186,1.6952
209,4.33,1494.616,0.033470005,0.03455846,64,495.29,0.430875154,6.324246657,3.522786034,0.551030567,1.82435121,0.24245345,1.769882024,1.7669
210,4.32,831.8763333,0.077824564,0.176601895,43,491.59,0.34450431,6.618514939,3.664557355,0.768177427,2.13936852,0.242453449,0.397246888,1.7147
212,4.25,1987.570333,0.077824564,0.030748866,114,520.95,0.221707489,6.243225299,3.403600163,0.028299842,2.019142323,0.49905682,0.0001,1.1407
213,4.25,1252.545333,0.033470005,0.161363519,54,506.9,0.380076939,6.084308084,3.283870065,0.428035102,2.073525085,0.618514804,0.406928323,1.6745
214,4.24,940.5126667,0.033470005,1.190498138,35,480.56,0.317153602,6.199781505,3.365504223,0.364088345,2.116175827,0.565180488,5.672940756,1.7834
215,4.22,1085.621333,0.033470005,0.257691826,62,512.33,0.320583597,6.203990562,3.343190886,0.27565134,2.087344318,0.476471369,0,1.6799
216,4.21,997.0616667,0.077824564,0.221772796,64,504.17,0.363508198,6.399008851,3.453124886,0.177690351,2.197512242,0.496879909,0.093677959,1.1614
217,4.2,1219.206333,0.077824564,0.054694886,64,503.34,0.342527947,6.182630985,3.295026733,0.397830464,1.967524674,0.524635523,1.081186094,1.709
219,4.19,1391.941667,0.033470005,0.104219608,60,504.21,0.30793384,6.158107267,3.370130159,0.441368681,1.978659224,0.476199255,0.07,1.7301
220,4.18,1077.497333,0.033470005,0.000272114,22,425.57,0.247161835,6.517980296,3.743470375,0.748857343,1.793751535,0.375789241,9.42369338,2.0513
221,4.18,1277.536667,0.033470005,0.069933262,52,465.31,0.355028042,6.363111047,3.560337747,0.51810479,1.990202003,0.489804948,0.56901565,1.8644
222,4.18,567.303,0.033470005,1.817448472,34,491.54,0.287191689,6.445309569,3.525235059,0.729537259,2.298070091,0.471301206,0.402462396,1.2883
223,4.16,1100.624667,0.077824564,0.067484237,64,452.02,0.352374659,6.602058581,3.68251687,0.511574057,2.044122671,0.425858191,0.263208397,1.9217
224,4.15,714.9,0.033470005,0.251161093,46,435.81,0.487093878,6.812504093,3.879255191,0.72110173,2.291923678,0.454430147,1.333100004,1.9827
225,4.14,1107.407333,0.077824564,0.741510269,51,457.57,0.343438168,6.468342918,3.567412707,0.118913757,2.253686057,0.640011799,3.417769009,1.8391
226,4.12,1340.840667,0.077824564,0.678651967,61,487,0.492616701,6.303858798,3.392715609,0.247351499,2.263164166,0.678924081,1.23269564,1.7044
227,4.09,1031.443,0.033470005,0.107484975,52,422.72,0.430323307,6.827289128,3.934766419,0.297964677,2.100623952,0.39402087,0.412992337,1.9958
228,4.08,884.8766667,0.033470005,0.220140113,50,504.4,0.43329343,6.339424896,3.441151876,0.526812433,2.162160958,0.415789978,3.058442919,1.6956
229,4.07,891.7933333,0.033470005,0.050341064,48,439.21,0.545694686,6.606442335,3.709728256,0.446266731,2.142052754,0.518649018,0.566200141,1.9477
231,4.05,1006.662333,0.077824564,0.069116921,55,463.88,0.595306485,6.463017922,3.526051401,0.526268206,2.101591552,0.560826666,1.885138886,1.8839
232,4.04,999.6333333,0.077824564,0.196466207,64,505.25,0.343974505,6.288360553,3.348633164,0.216874747,2.187519987,0.588038052,0.047139474,1.162
233,4.04,1064.099667,0.033470005,0.122723351,64,469.78,0.346474959,6.191654552,3.309720882,0.316468419,2.16446325,0.7676332,2.032567364,1.8984
234,4,787.5,0.077824564,0.160819291,41,459.38,0.534066444,6.641705298,3.678707276,0.595385126,2.245168288,0.507764463,1.355981689,1.8484
235,4,815.3533333,0.077824564,0.17061539,49,463.26,0.541196916,6.547145188,3.588365475,0.708040264,2.238298084,0.579330408,1.674612391,1.8642
236,3.97,1205.661333,0.077824564,0.098505217,70,489.8,0.319934878,6.354477962,3.451220089,0.351843221,2.068435137,0.490077062,0.045162042,1.762
237,3.97,578.9866667,0.033470005,1.315942628,28,482.95,0.502732261,6.348663433,3.397885772,0.436198518,2.436849802,0.696611482,1.858619714,1.1718
238,3.96,1334.309667,0.033470005,0.000816342,27,434.07,0.205035889,6.520483744,3.712993622,0.539057557,1.768646758,0.337149073,7.762539194,1.9908
239,3.95,1061.051667,0.077824564,0.046803584,63,479.59,0.388409337,6.819899876,3.872996572,0.382592088,2.113706761,0.126260831,2.143451873,1.721
240,3.91,1162.997333,0.033470005,0.24952841,52,471.55,0.359017231,6.155004081,3.307543971,0.257691826,2.092609906,0.729265145,0.114357597,1.8915
242,3.81,934.705,0.033470005,1.168456916,49,503.22,0.423612979,6.263466761,3.37938203,0.286808009,2.173791345,0.488172265,1.901242894,1.6897
243,3.73,1049.906,0.077824564,0.210888242,64,503.88,0.365103329,6.365392177,3.425369272,0.1825884,2.189626136,0.527356661,0.030350947,1.16
244,3.73,935.8616667,0.033470005,1.152674312,35,484.97,0.364938156,6.150094875,3.316251614,0.437286973,2.099312633,0.574704473,7.245519826,1.7393
245,3.7,740.0126667,0.033470005,0.998657867,52,492.84,0.483771095,6.366097224,3.455846025,0.688175953,2.391247603,0.670488552,0,1.1534
246,3.7,481.175,0.033470005,0.359190295,32,467.18,0.370933369,7.161336646,4.190281333,1.275125549,2.462097444,-0.017415287,3.078822999,1.7528
248,3.54,933.73,0.033470005,1.202471148,35,481.23,0.446227002,6.149020025,3.307271857,0.346400944,2.18024769,0.675930829,2.553340075,1.7374
249,3.53,1096.017333,0.077824564,0.671849121,51,452.19,0.398806808,6.451366551,3.548364737,0.118369529,2.296196688,0.736340106,1.032688186,1.8506
250,3.51,1151.686667,0.033470005,0.269120608,52,462.64,0.383803266,6.157991619,3.316523728,0.161635633,2.091791776,0.77470816,0.949459862,1.9145
251,3.5,950.3766667,0.033470005,0.253882232,60,484.33,0.420518501,6.367589496,3.502921722,0.479736736,2.144820474,0.492253973,0,1.743
252,3.45,468.9986667,0.033470005,1.316214742,32,450.49,0.529504183,6.571127398,3.589181816,0.99675307,2.58196854,0.817974264,0.048,1.3199
253,3.4,610.24,0.077824564,0.110478227,37,415.51,0.675538712,7.283464884,4.277629882,0.578786181,2.397176344,0.240276539,2.195914903,2.0344
254,3.4,1088.806667,0.077824564,0.992943476,47,454.56,0.331989794,6.203078436,3.299652669,0.104491722,2.170606624,0.869948011,0.1009,1.8902
255,3.34,1046.473667,0.033470005,0.055511227,54,446.11,0.514061994,6.487380276,3.6085019,0.414701523,2.089080906,0.567901626,0.111063495,1.9296
256,3.3,1407.124,0.033470005,0.044354559,56,485.2,0.435642317,6.203415858,3.394348292,0.500689503,1.925697166,0.49905682,1.328541497,1.7834
257,3.27,665.2766667,0.077824564,0.219323771,37,449.01,0.52794361,6.735118721,3.744014603,0.751306368,2.338131968,0.535520077,1.051578361,1.8939
259,3.24,942.1426667,0.033470005,0.309937687,58,492.71,0.499048112,6.458000143,3.581290514,0.403000627,2.312295821,0.55266325,0.124151118,1.6605
260,3.23,794.6323333,0.077824564,0.126805059,43,478.62,0.466066551,6.604108959,3.648774751,0.839199145,2.104993093,0.275379227,1.315330989,1.8054
261,3.2,958.7043333,0.033470005,0.664774161,68,510.38,0.457584218,6.21066742,3.313258362,0.333611593,2.310863032,0.677019284,0.117116481,1.1136
262,3.19,1070.060333,0.033470005,0.257691826,62,503.87,0.445892302,6.099079785,3.237338595,0.267760038,2.110886047,0.646542532,0.848683716,1.6815
263,3.14,1046.473667,0.077824564,0.055511227,54,446.11,0.514061994,6.487380276,3.549181079,0.414701523,2.089080906,0.627222448,0.111063495,1.9296
264,3.09,1259.803667,0.033470005,0.194017182,74,527.33,0.363183838,6.168304462,3.319244867,0.183404742,2.112853724,0.50966926,0.035552918,1.1288
265,3.07,1400.469,0.077824564,0.173608643,71,507.48,0.477960648,6.269498436,3.365776337,0.269664836,2.102370191,0.531982597,0.695304171,1.6835
266,3.04,617.281,0.033470005,1.717310572,32,462.19,0.521825402,6.48655305,3.519248554,1.632411047,2.585749502,0.849267358,0,1.1998
268,2.59,375.1253333,0.077824564,0.741510269,25,440.92,0.168806922,6.917186567,3.85313226,1.455537038,2.738448036,0.722462299,18.40674181,1.7498
269,2.56,1423.150333,0.033470005,0.222861252,66,547.72,0.463761203,6.251163405,3.403872277,0.192928727,2.062084371,0.302318499,1.989484139,1.1043
270,2.52,1020.109,0.033470005,0.265583128,50,517.23,0.44280136,6.426778343,3.527956198,0.232385237,2.176854526,0.335788504,2.176011643,1.147
271,2.5,610.1686667,0.077824564,0.001088455,42,531.64,0.079996033,6.124006775,3.101009551,1.808468715,2.307881575,0.709672947,0.579886308,1.3228
272,2.3,212.294,0.077824564,1.760032448,18,421.85,0.170117367,6.731176607,3.412579921,1.661799344,3.160155978,1.235124811,0,1.5937
273,2.1,375.0286667,0.077824564,0.000272114,30,467.38,0.118252248,6.752538362,3.604148078,2.184802184,2.706509133,0.666406844,1.15695598,1.5791
274,1.76,642.9906667,0.077824564,1.467237934,40,479.03,0.523117671,6.657671851,3.643876702,0.371163305,2.42587883,0.543955607,0.680600698,1.6879
275,1.74,435.703,0.077824564,2.074051843,20,448.11,0.374210164,6.815126454,3.760885662,1.424788172,2.475009831,0.558377641,3.070109309,1.4173
276,1.54,351.5596667,0.077824564,0.748857343,25,436.05,0.184363943,7.043788357,3.956535527,1.422067033,2.782399767,0.654433834,4.599248453,1.777
277,1.34,760.187,0.077824564,1.974730284,33,520.25,0.441313714,6.135829306,3.170942813,0.893621917,2.308062539,0.808722393,3.283919874,1.2684
278,1.17,494.5706667,0.077824564,1.98860809,25,470.17,0.487823959,6.325698656,3.299380555,1.162198297,2.436761291,0.927908263,2.910385552,1.3499
279,1,578.8093333,0.077824564,1.901803769,24,489.94,0.203082111,6.224184676,3.168221674,1.411454593,2.443794289,0.919744848,0.03129361,1.3575
280,0.5,475.5143333,0.077824564,2.018812729,26,598.59,0.210358708,6.162820824,3.062641497,1.566287379,2.475103542,0.487900151,0.000608276,0.7555
