DMSC,ΔGOOH,ΔGOH,ΔGO,ΔG1,ΔG2,ΔG3,ΔG4,UL,L,EA1,EA2,R1,R2,P1,P2,Z1,Z2,N1,N2,Nd1,Nd2,IE1,IE2,IE1/Nd1,IE1*L,P1/Nd1,P1*Nd1,IE2/Nd2,IE2*L,P2/Nd2,P2*Nd2,P1+P2,|P1-P2|,R1+R2
Fe/Cr,2.88,-0.21,1.37,-2.04,-1.51,-1.58,0.21,-0.21,2.74,0.15323634,0.6758412,2.44,2.45,1.83,1.66,26.0,24.0,8.0,6.0,6.0,5.0,7.9024678,6.76651,1.3170779666666668,21.652761772,0.305,10.98,1.353302,18.540237400000002,0.33199999999999996,8.299999999999999,3.49,0.17000000000000015,4.890000000000001
Fe/Cu,3.98,0.71,1.64,-0.94,-2.34,-0.93,-0.71,0.71,2.62,0.15323634,1.235784,2.44,2.38,1.83,1.9,26.0,29.0,8.0,11.0,6.0,10.0,7.9024678,7.72638,1.3170779666666668,20.704465636000002,0.305,10.98,0.7726379999999999,20.2431156,0.19,19.0,3.73,0.06999999999999984,4.82
Fe/Fe,3.44,0.39,1.61,-1.48,-1.83,-1.22,-0.39,0.39,2.63,0.15323634,0.15323634,2.44,2.44,1.83,1.83,26.0,26.0,8.0,8.0,6.0,6.0,7.9024678,7.9024678,1.3170779666666668,20.783490313999998,0.305,10.98,1.3170779666666668,20.783490313999998,0.305,10.98,3.66,0.0,4.88
Fe/Mn,2.86,-0.22,1.3,-2.06,-1.56,-1.52,0.22,-0.22,2.78,0.15323634,-0.52,2.44,2.45,1.83,1.55,26.0,25.0,8.0,7.0,6.0,5.0,7.9024678,7.434018,1.3170779666666668,21.968860484,0.305,10.98,1.4868036,20.66657004,0.31,7.75,3.38,0.28,4.890000000000001
Fe/Zn,3.9,0.5,1.37,-1.02,-2.53,-0.87,-0.5,0.5,2.66,0.15323634,-0.62,2.44,2.39,1.83,1.65,26.0,30.0,8.0,12.0,6.0,10.0,7.9024678,9.394199,1.3170779666666668,21.020564348,0.305,10.98,0.9394199000000001,24.98856934,0.16499999999999998,16.5,3.48,0.18000000000000016,4.83
Fe/Ni,3.43,0.58,1.85,-1.49,-1.58,-1.27,-0.58,0.58,2.58,0.15323634,1.1571612,2.44,2.4,1.83,1.91,26.0,28.0,8.0,10.0,6.0,8.0,7.9024678,7.639877,1.3170779666666668,20.388366924,0.305,10.98,0.954984625,19.710882660000003,0.23875,15.28,3.74,0.07999999999999985,4.84
Co/Co,3.49,0.35,2.16,-1.43,-1.33,-1.81,-0.35,0.35,2.61,0.662265,0.662265,2.4,2.4,1.88,1.88,27.0,27.0,9.0,9.0,7.0,7.0,7.88101,7.88101,1.1258585714285714,20.569436099999997,0.26857142857142857,13.16,1.1258585714285714,20.569436099999997,0.26857142857142857,13.16,3.76,0.0,4.8
Co/Cr,3.27,0.31,2.02,-1.65,-1.24,-1.72,-0.31,0.31,2.64,0.662265,0.6758412,2.4,2.45,1.88,1.66,27.0,24.0,9.0,6.0,7.0,5.0,7.88101,6.76651,1.1258585714285714,20.8058664,0.26857142857142857,13.16,1.353302,17.863586400000003,0.33199999999999996,8.299999999999999,3.54,0.21999999999999997,4.85
Co/Cu,3.69,0.48,2.84,-1.23,-0.85,-2.36,-0.48,0.48,2.58,0.662265,1.235784,2.4,2.38,1.88,1.9,27.0,29.0,9.0,11.0,7.0,10.0,7.88101,7.72638,1.1258585714285714,20.3330058,0.26857142857142857,13.16,0.7726379999999999,19.9340604,0.19,19.0,3.78,0.020000000000000018,4.779999999999999
Co/Mn,3.26,0.1,2.13,-1.66,-1.12,-2.04,-0.1,0.1,2.75,0.662265,-0.52,2.4,2.45,1.88,1.55,27.0,25.0,9.0,7.0,7.0,5.0,7.88101,7.434018,1.1258585714285714,21.6727775,0.26857142857142857,13.16,1.4868036,20.4435495,0.31,7.75,3.4299999999999997,0.32999999999999985,4.85
Co/Ni,3.38,0.51,1.89,-1.54,-1.49,-1.37,-0.51,0.51,2.62,0.662265,1.1571612,2.4,2.4,1.88,1.91,27.0,28.0,9.0,10.0,7.0,8.0,7.88101,7.639877,1.1258585714285714,20.6482462,0.26857142857142857,13.16,0.954984625,20.016477740000003,0.23875,15.28,3.79,0.030000000000000027,4.8
Co/Zn,3.06,0.17,2.02,-1.86,-1.04,-1.86,-0.17,0.17,2.65,0.662265,-0.62,2.4,2.39,1.88,1.65,27.0,30.0,9.0,12.0,7.0,10.0,7.88101,9.394199,1.1258585714285714,20.884676499999998,0.26857142857142857,13.16,0.9394199000000001,24.89462735,0.16499999999999998,16.5,3.53,0.22999999999999998,4.79
Co/Pt,3.51,0.65,2.42,-1.41,-1.09,-1.77,-0.65,0.65,2.62,0.662265,2.125105,2.4,2.29,1.88,2.2,27.0,78.0,9.0,10.0,7.0,9.0,7.88101,8.95883,1.1258585714285714,20.6482462,0.26857142857142857,13.16,0.9954255555555557,23.472134600000004,0.24444444444444446,19.8,4.08,0.3200000000000003,4.6899999999999995
Co/Ru,3.16,0.22,1.55,-1.76,-1.61,-1.32,-0.22,0.22,2.58,0.662265,1.0463825,2.4,2.46,1.88,2.2,27.0,44.0,9.0,8.0,7.0,7.0,7.88101,7.3605,1.1258585714285714,20.3330058,0.26857142857142857,13.16,1.0515,18.990090000000002,0.31428571428571433,15.400000000000002,4.08,0.3200000000000003,4.859999999999999
Co/Rh,3.53,0.67,2.01,-1.39,-1.52,-1.34,-0.67,0.67,2.56,0.662265,1.142892,2.4,2.44,1.88,2.28,27.0,45.0,9.0,9.0,7.0,8.0,7.88101,7.4589,1.1258585714285714,20.1753856,0.26857142857142857,13.16,0.9323625,19.094784,0.285,18.24,4.16,0.3999999999999999,4.84
Cr/Cr,3.01,0.27,1.25,-1.91,-1.76,-0.98,-0.27,0.27,2.8,0.6758412,0.6758412,2.45,2.45,1.66,1.66,24.0,24.0,6.0,6.0,5.0,5.0,6.76651,6.76651,1.353302,18.946227999999998,0.33199999999999996,8.299999999999999,1.353302,18.946227999999998,0.33199999999999996,8.299999999999999,3.32,0.0,4.9
Cr/Cu,3.25,0.23,1.55,-1.67,-1.7,-1.31,-0.23,0.23,2.64,0.6758412,1.235784,2.45,2.38,1.66,1.9,24.0,29.0,6.0,11.0,5.0,10.0,6.76651,7.72638,1.353302,17.863586400000003,0.33199999999999996,8.299999999999999,0.7726379999999999,20.3976432,0.19,19.0,3.5599999999999996,0.24,4.83
Cr/Mn,3.09,0.25,1.25,-1.83,-1.83,-1.0,-0.25,0.25,2.91,0.6758412,-0.52,2.45,2.45,1.66,1.55,24.0,25.0,6.0,7.0,5.0,5.0,6.76651,7.434018,1.353302,19.6905441,0.33199999999999996,8.299999999999999,1.4868036,21.63299238,0.31,7.75,3.21,0.10999999999999988,4.9
Cr/Ni,3.34,0.32,1.49,-1.58,-1.85,-1.17,-0.32,0.32,2.65,0.6758412,1.1571612,2.45,2.4,1.66,1.91,24.0,28.0,6.0,10.0,5.0,8.0,6.76651,7.639877,1.353302,17.9312515,0.33199999999999996,8.299999999999999,0.954984625,20.24567405,0.23875,15.28,3.57,0.25,4.85
Cr/Zn,3.16,0.28,1.35,-1.76,-1.82,-1.06,-0.28,0.28,2.72,0.6758412,-0.62,2.45,2.39,1.66,1.65,24.0,30.0,6.0,12.0,5.0,10.0,6.76651,9.394199,1.353302,18.4049072,0.33199999999999996,8.299999999999999,0.9394199000000001,25.55222128,0.16499999999999998,16.5,3.3099999999999996,0.010000000000000009,4.84
Cr/Pt,3.35,0.38,1.54,-1.57,-1.81,-1.16,-0.38,0.38,2.69,0.6758412,2.125105,2.45,2.29,1.66,2.2,24.0,78.0,6.0,10.0,5.0,9.0,6.76651,8.95883,1.353302,18.2019119,0.33199999999999996,8.299999999999999,0.9954255555555557,24.0992527,0.24444444444444446,19.8,3.8600000000000003,0.5400000000000003,4.74
Cr/Pd,3.32,0.37,1.51,-1.6,-1.81,-1.15,-0.37,0.37,2.71,0.6758412,0.5621412,2.45,2.15,1.66,2.2,24.0,46.0,6.0,12.0,5.0,10.0,6.76651,8.33686,1.353302,18.3372421,0.33199999999999996,8.299999999999999,0.8336859999999999,22.5928906,0.22000000000000003,22.0,3.8600000000000003,0.5400000000000003,4.6
Cr/Rh,3.14,0.17,1.24,-1.78,-1.9,-1.07,-0.17,0.17,2.71,0.6758412,1.142892,2.45,2.44,1.66,2.28,24.0,45.0,6.0,9.0,5.0,8.0,6.76651,7.4589,1.353302,18.3372421,0.33199999999999996,8.299999999999999,0.9323625,20.213618999999998,0.285,18.24,3.9399999999999995,0.6199999999999999,4.890000000000001
Cu/Ni,3.76,0.93,3.17,-1.16,-0.59,-2.24,-0.93,0.59,2.62,1.235784,1.1571612,2.38,2.4,1.9,1.91,29.0,28.0,11.0,10.0,10.0,8.0,7.72638,7.639877,0.7726379999999999,20.2431156,0.19,19.0,0.954984625,20.016477740000003,0.23875,15.28,3.8099999999999996,0.010000000000000009,4.779999999999999
Cu/Zn,3.77,0.69,2.94,-1.15,-0.83,-2.25,-0.69,0.69,2.58,1.235784,-0.62,2.38,2.39,1.9,1.65,29.0,30.0,11.0,12.0,10.0,10.0,7.72638,9.394199,0.7726379999999999,19.9340604,0.19,19.0,0.9394199000000001,24.237033420000003,0.16499999999999998,16.5,3.55,0.25,4.77
Cu/Pt,3.79,0.96,3.17,-1.13,-0.62,-2.21,-0.96,0.62,2.62,1.235784,2.125105,2.38,2.29,1.9,2.2,29.0,78.0,11.0,10.0,10.0,9.0,7.72638,8.95883,0.7726379999999999,20.2431156,0.19,19.0,0.9954255555555557,23.472134600000004,0.24444444444444446,19.8,4.1,0.30000000000000027,4.67
Cu/Ru,3.72,0.84,1.76,-1.2,-1.96,-0.92,-0.84,0.84,2.49,1.235784,1.0463825,2.38,2.46,1.9,2.2,29.0,44.0,11.0,8.0,10.0,7.0,7.72638,7.3605,0.7726379999999999,19.2386862,0.19,19.0,1.0515,18.327645,0.31428571428571433,15.400000000000002,4.1,0.30000000000000027,4.84
Cu/Pd,3.76,0.94,3.17,-1.16,-0.59,-2.23,-0.94,0.59,2.68,1.235784,0.5621412,2.38,2.15,1.9,2.2,29.0,46.0,11.0,12.0,10.0,10.0,7.72638,8.33686,0.7726379999999999,20.7066984,0.19,19.0,0.8336859999999999,22.3427848,0.22000000000000003,22.0,4.1,0.30000000000000027,4.529999999999999
Cu/Rh,3.58,0.75,2.91,-1.34,-0.67,-2.16,-0.75,0.67,2.57,1.235784,1.142892,2.38,2.44,1.9,2.28,29.0,45.0,11.0,9.0,10.0,8.0,7.72638,7.4589,0.7726379999999999,19.8567966,0.19,19.0,0.9323625,19.169373,0.285,18.24,4.18,0.3799999999999999,4.82
Mn/Ni,3.26,0.34,1.76,-1.66,-1.5,-1.42,-0.34,0.34,2.71,-0.52,1.1571612,2.45,2.4,1.55,1.91,25.0,28.0,7.0,10.0,5.0,8.0,7.434018,7.639877,1.4868036,20.14618878,0.31,7.75,0.954984625,20.70406667,0.23875,15.28,3.46,0.3599999999999999,4.85
Mn/Pt,3.27,0.36,1.76,-1.65,-1.5,-1.4,-0.36,0.36,2.75,-0.52,2.125105,2.45,2.29,1.55,2.2,25.0,78.0,7.0,10.0,5.0,9.0,7.434018,8.95883,1.4868036,20.4435495,0.31,7.75,0.9954255555555557,24.636782500000002,0.24444444444444446,19.8,3.75,0.6500000000000001,4.74
Mn/Pd,3.3,0.37,1.78,-1.62,-1.51,-1.41,-0.37,0.37,2.8,-0.52,0.5621412,2.45,2.15,1.55,2.2,25.0,46.0,7.0,12.0,5.0,10.0,7.434018,8.33686,1.4868036,20.8152504,0.31,7.75,0.8336859999999999,23.343207999999997,0.22000000000000003,22.0,3.75,0.6500000000000001,4.6
Ni/Ni,3.67,0.84,2.65,-1.25,-1.02,-1.81,-0.84,0.84,2.54,1.1571612,1.1571612,2.4,2.4,1.91,1.91,28.0,28.0,10.0,10.0,8.0,8.0,7.639877,7.639877,0.954984625,19.40528758,0.23875,15.28,0.954984625,19.40528758,0.23875,15.28,3.82,0.0,4.8
Ni/Zn,3.74,0.7,2.49,-1.18,-1.25,-1.79,-0.7,0.7,2.64,1.1571612,-0.62,2.4,2.39,1.91,1.65,28.0,30.0,10.0,12.0,8.0,10.0,7.639877,9.394199,0.954984625,20.16927528,0.23875,15.28,0.9394199000000001,24.800685360000003,0.16499999999999998,16.5,3.5599999999999996,0.26,4.79
Ni/Ru,3.55,0.75,2.55,-1.37,-1.0,-1.8,-0.75,0.75,2.56,1.1571612,1.0463825,2.4,2.46,1.91,2.2,28.0,44.0,10.0,8.0,8.0,7.0,7.639877,7.3605,0.954984625,19.55808512,0.23875,15.28,1.0515,18.84288,0.31428571428571433,15.400000000000002,4.11,0.29000000000000026,4.859999999999999
Ni/Pd,3.9,0.93,2.87,-1.02,-1.03,-1.93,-0.93,0.93,2.61,1.1571612,0.5621412,2.4,2.15,1.91,2.2,28.0,46.0,10.0,12.0,8.0,10.0,7.639877,8.33686,0.954984625,19.94007897,0.23875,15.28,0.8336859999999999,21.759204599999997,0.22000000000000003,22.0,4.11,0.29000000000000026,4.55
Ni/Rh,4.5,0.82,3.47,-0.42,-1.03,-2.64,-0.82,0.42,2.53,1.1571612,1.142892,2.4,2.44,1.91,2.28,28.0,45.0,10.0,9.0,8.0,8.0,7.639877,7.4589,0.954984625,19.32888881,0.23875,15.28,0.9323625,18.871017,0.285,18.24,4.1899999999999995,0.3699999999999999,4.84
Zn/Zn,3.49,0.47,2.93,-1.43,-0.57,-2.46,-0.47,0.47,2.66,-0.62,-0.62,2.39,2.39,1.65,1.65,30.0,30.0,12.0,12.0,10.0,10.0,9.394199,9.394199,0.9394199000000001,24.98856934,0.16499999999999998,16.5,0.9394199000000001,24.98856934,0.16499999999999998,16.5,3.3,0.0,4.78
Zn/Pt,3.57,0.56,3.0,-1.35,-0.56,-2.45,-0.56,0.56,2.67,-0.62,2.125105,2.39,2.29,1.65,2.2,30.0,78.0,12.0,10.0,10.0,9.0,9.394199,8.95883,0.9394199000000001,25.08251133,0.16499999999999998,16.5,0.9954255555555557,23.920076100000003,0.24444444444444446,19.8,3.85,0.5500000000000003,4.68
Zn/Ru,3.22,0.06,2.49,-1.7,-0.73,-2.43,-0.06,0.06,2.66,-0.62,1.0463825,2.39,2.46,1.65,2.2,30.0,44.0,12.0,8.0,10.0,7.0,9.394199,7.3605,0.9394199000000001,24.98856934,0.16499999999999998,16.5,1.0515,19.57893,0.31428571428571433,15.400000000000002,3.85,0.5500000000000003,4.85
Zn/Rh,3.22,0.54,2.61,-1.7,-0.61,-2.08,-0.54,0.54,2.74,-0.62,1.142892,2.39,2.44,1.65,2.28,30.0,45.0,12.0,9.0,10.0,8.0,9.394199,7.4589,0.9394199000000001,25.740105260000004,0.16499999999999998,16.5,0.9323625,20.437386,0.285,18.24,3.9299999999999997,0.6299999999999999,4.83
Pt/Ru,4.33,0.38,2.08,-0.59,-2.25,-1.7,-0.38,0.38,2.63,2.125105,1.0463825,2.29,2.46,2.2,2.2,78.0,44.0,10.0,8.0,9.0,7.0,8.95883,7.3605,0.9954255555555557,23.5617229,0.24444444444444446,19.8,1.0515,19.358114999999998,0.31428571428571433,15.400000000000002,4.4,0.0,4.75
Pt/Rh,3.52,0.82,3.15,-1.4,-0.38,-2.33,-0.82,0.38,2.55,2.125105,1.142892,2.29,2.44,2.2,2.28,78.0,45.0,10.0,9.0,9.0,8.0,8.95883,7.4589,0.9954255555555557,22.8450165,0.24444444444444446,19.8,0.9323625,19.020194999999998,0.285,18.24,4.48,0.07999999999999963,4.73
Ru/Ru,3.19,0.29,1.2,-1.73,-1.98,-0.91,-0.29,0.29,2.47,1.0463825,1.0463825,2.46,2.46,2.2,2.2,44.0,44.0,8.0,8.0,7.0,7.0,7.3605,7.3605,1.0515,18.180435000000003,0.31428571428571433,15.400000000000002,1.0515,18.180435000000003,0.31428571428571433,15.400000000000002,4.4,0.0,4.92
Ru/Rh,3.86,0.4,1.25,-1.06,-2.61,-0.84,-0.4,0.4,2.59,1.0463825,1.142892,2.46,2.44,2.2,2.28,44.0,45.0,8.0,9.0,7.0,8.0,7.3605,7.4589,1.0515,19.063695,0.31428571428571433,15.400000000000002,0.9323625,19.318551,0.285,18.24,4.48,0.07999999999999963,4.9
Pd/Pd,3.34,0.58,1.57,-1.58,-1.77,-0.99,-0.58,0.58,2.74,0.5621412,0.5621412,2.15,2.15,2.2,2.2,46.0,46.0,12.0,12.0,10.0,10.0,8.33686,8.33686,0.8336859999999999,22.8429964,0.22000000000000003,22.0,0.8336859999999999,22.8429964,0.22000000000000003,22.0,4.4,0.0,4.3
Rh/Rh,3.94,0.72,2.19,-0.98,-1.75,-1.47,-0.72,0.72,2.57,1.142892,1.142892,2.44,2.44,2.28,2.28,45.0,45.0,9.0,9.0,8.0,8.0,7.4589,7.4589,0.9323625,19.169373,0.285,18.24,0.9323625,19.169373,0.285,18.24,4.56,0.0,4.88
